Date,Buy,Sell,Units,Value Per Unit
06/15/2017,USD,,100000,1
06/15/2017,BTC,USD,13.5,2463.32
06/15/2017,ETH,USD,98,343.39
06/15/2017,LTC,USD,1151,28.75
12/14/2017,USD,,50000,1
12/14/2017,BCH,USD,26.4604740206,1889.61
12/15/2017,GNT,ETH,4482,0.00056751
12/16/2017,BTC,LTC,0.3025,0.489203
12/16/2017,ETH,BTC,97.5,0.038799
12/16/2017,ETH,BTC,3.8,0.03870705
12/16/2017,GNT,ETH,12200,0.000609
12/16/2017,GNT,ETH,4267,0.0006198
12/16/2017,GNT,ETH,102203,0.00059664
12/19/2017,BTC,LTC,0.3542806922,7.60481
12/19/2017,NEO,BTC,645,0.00415
12/19/2017,NEO,ETH,71,0.088327
12/19/2017,NEO,BTC,426,0.004094
01/08/2018,USD,,200000,1
01/08/2018,ETH,USD,173.29,1154.13
01/08/2018,OMG,ETH,3500,0.02189
01/08/2018,GNT,ETH,75000,0.0009905
